scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db
S5,0,1649,1817360472,CQ <...>,1875,3.040,-27
S5,0,1652,670045067,<RDCTG257>/P 3XU8JLY R NR29,2322,-1.360,-27
S5,0,1653,768852237,C+8ZTRH3LI3AX,728,-0.160,-28
S5,0,1654,1670840576,<RDCTG193> <RDCTG347>/R MA84,2444,-0.320,-28
S5,0,1656,51731889,<...> 1ZC746HM NX RR73,2206,-1.440,-27
S5,0,1666,195925160,1BLHIEJ7H0V <...>,238,-1.120,-29
S5,0,1672,423950850,9I2 XW/P <RDCTG205>/P BH79,847,3.120,-25
S5,0,1678,100262267,<RDCTG341>/P <RDCTG209> IQ03,1450,-1.280,-27
S5,0,167,1185333218,<...> <RDCTG252> OK09,1859,-1.120,-28
S5,0,1683,1364476700,<...> NX0CC904X4A 73,2731,-0.400,-28
S5,0,1748,978217812,Y60PQY <RDCTG154>/P R DR68,1500,2.800,-27
S5,0,1749,918374809,<RDCTG171> 633OWZ OC07,2750,3.040,-27
S5,0,1757,1233844752,<RDCTG148> A/R <RDCTG118>/R R OI87,597,-0.640,-29
S5,0,1758,1927429617,NXCJ/M0LOB5CO,2631,-0.880,-28
S5,0,175,1031879935,<RDCTG212>/R 286 WE/R R CK41,1259,-0.800,-28
S5,0,1764,2011497068,<...> 6ECK6A0JOTY,2475,0.960,-26
S5,0,1766,1035907619,1.6JAYIL?K/U?,1147,1.120,-26
S5,0,1775,1492153901,<...> <RDCTG225>/R R DI60,2803,-1.040,-28
S5,0,1776,528671424,CQ <...>,1628,-1.280,-29
S5,0,1792,321630411,CQ 40 644RVNSJ,1406,-0.960,-28
S5,0,1803,690807676,LK+T9QLZYL-V+,288,2.080,-26
S5,0,1805,76797872,1TJZOKQ5WRN <...>,356,-1.200,-28
S5,0,1806,1899148702,8J3TWKBVX/Z+1,728,-1.280,-28
S5,0,181,1183292314,047JTV <RDCTG134> QQ75,1578,-1.200,-28
S5,0,1836,1852285694,YYGYCT2N 3D <...> RR73,400,-1.440,-28
S5,0,1847,1009718449,<...> 5Z8963ARYHU RRR,2944,-0.960,-28
S5,0,1872,995556258,1B5F10B7C25261BD26,388,-0.880,-27
S5,0,1913,424722091,DF <RDCTG113> 0K R,2569,2.960,-27
S5,0,1918,491323195,CQ <...>,681,-1.440,-29
S5,0,1919,331923837,C63TAV <RDCTG131> R EL44,2222,-0.880,-28
S5,0,192,1168445135,<RDCTG149>/R 752ZUB/R PR00,1925,1.040,-26
S5,0,1933,171813943,I50ZOY <RDCTG245>/P DO52,2828,-0.400,-28
