scenario,part,trial,seed,n_decodes
S5,0,1208,2135613766,0
S5,0,1209,1274873201,0
S5,0,120,685734543,0
S5,0,1210,862518004,0
S5,0,1211,845129100,0
S5,0,1212,978280084,0
S5,0,1213,356000186,0
S5,0,1214,2098153141,0
S5,0,1215,334431743,0
S5,0,1216,1755187904,1
S5,0,1217,684199858,0
S5,0,1218,489171149,0
S5,0,1219,1854097376,0
S5,0,121,1396560511,0
S5,0,1220,102414603,0
S5,0,1221,1943890980,0
S5,0,1222,1160687077,0
S5,0,1223,874357138,0
S5,0,1224,714460566,0
S5,0,1225,323125086,1
S5,0,1226,42190560,0
S5,0,1227,1757214844,0
S5,0,1228,664960868,0
S5,0,1229,1848981551,0
S5,0,122,503525738,1
S5,0,1230,243916581,0
S5,0,1231,906210666,0
S5,0,1232,2145123555,1
S5,0,1233,803050490,0
S5,0,1234,348000249,0
S5,0,1235,424500946,0
S5,0,1236,1980435534,0
S5,0,1237,396691525,1
S5,0,1238,455425652,0
S5,0,1239,1367068522,0
S5,0,123,1062941184,0
S5,0,1240,1340204434,0
S5,0,1241,1570422466,0
S5,0,1242,1470060482,0
S5,0,1243,1050641514,0
S5,0,1244,2046598857,0
S5,0,1245,506312350,1
S5,0,1246,1694257971,1
S5,0,1247,2093555014,0
S5,0,1248,549090262,0
S5,0,1249,1436010972,0
S5,0,124,566311524,0
S5,0,1250,988444930,1
S5,0,1251,302660892,0
S5,0,1252,175453300,0
S5,0,1253,1267636191,0
S5,0,1254,852360643,0
S5,0,1255,331885140,0
S5,0,1256,2041443015,0
S5,0,1257,315400617,0
S5,0,1258,1969593470,0
S5,0,1259,1265002688,1
S5,0,125,1155504760,0
S5,0,1260,941783465,0
S5,0,1261,2125478121,0
S5,0,1262,77377526,0
S5,0,1263,1652712393,0
S5,0,1264,1380208599,0
S5,0,1265,2031374353,0
S5,0,1266,388985428,0
S5,0,1267,524266918,0
S5,0,1268,1156076527,1
S5,0,1269,735329976,0
S5,0,126,1160180909,0
S5,0,1270,1565043573,1
S5,0,1271,1634219873,0
S5,0,1272,27852616,1
S5,0,1273,1468137249,0
S5,0,1274,670976075,0
S5,0,1275,483269780,0
S5,0,1276,879511791,0
S5,0,1277,591390070,1
S5,0,1278,677465291,0
S5,0,1279,1686993237,0
S5,0,127,906636195,0
S5,0,1280,1500923938,0
S5,0,1281,1316821523,0
S5,0,1282,1607388958,0
S5,0,1283,575369904,0
S5,0,1284,1116267856,0
S5,0,1285,1433181774,0
S5,0,1286,1043390410,0
S5,0,1287,845641358,0
S5,0,1288,347415244,0
S5,0,1289,889678741,0
S5,0,128,647308052,0
S5,0,1290,1348542925,0
S5,0,1291,524565783,0
S5,0,1292,1792498673,0
S5,0,1293,309980593,0
S5,0,1294,255467241,0
S5,0,1295,1951605054,0
S5,0,1296,1008493482,0
S5,0,1297,1940031884,0
S5,0,1298,1553638004,0
S5,0,1299,814815164,0
S5,0,129,157153242,0
S5,0,1300,2029155232,0
S5,0,1301,1541674903,1
S5,0,1302,913783620,0
S5,0,1303,1736257654,0
S5,0,1304,1256334203,0
S5,0,1305,1340672368,0
S5,0,1306,867579256,0
S5,0,1307,1998277606,0
S5,0,1308,1197537177,0
S5,0,1309,873139075,0
S5,0,130,2021635475,0
S5,0,1310,1554239265,0
S5,0,1311,713860106,0
S5,0,1312,414488619,0
S5,0,1313,355907248,0
S5,0,1314,779532787,0
S5,0,1315,350150878,0
S5,0,1316,1014721814,0
S5,0,1317,1951259550,0
S5,0,1318,773452393,0
S5,0,1319,762722996,0
S5,0,131,40753756,1
S5,0,1320,1864133343,0
S5,0,1321,2053293384,0
S5,0,1322,2114272646,0
S5,0,1323,2097706340,0
S5,0,1324,1682232456,0
S5,0,1325,1926942258,0
S5,0,1326,1120075284,0
S5,0,1327,273969701,0
S5,0,1328,1771187022,0
S5,0,1329,1381657272,0
S5,0,132,1436126592,1
S5,0,1330,577446567,0
S5,0,1331,1696443952,0
S5,0,1332,880042635,0
S5,0,1333,1069137736,1
S5,0,1334,541194108,0
S5,0,1335,147889391,0
S5,0,1336,1354600186,0
S5,0,1337,142547998,0
S5,0,1338,1118125218,0
S5,0,1339,1459753687,0
S5,0,133,263909247,0
S5,0,1340,753456506,0
S5,0,1341,2038506127,1
S5,0,1342,1267066210,1
S5,0,1343,2056521682,0
S5,0,1344,587611273,0
S5,0,1345,933051521,0
S5,0,1346,1510748330,0
S5,0,1347,431063833,0
S5,0,1348,1537275257,0
S5,0,1349,297537341,0
S5,0,134,1914655233,0
S5,0,1350,750481866,0
S5,0,1351,387472584,0
S5,0,1352,1547287998,0
S5,0,1353,1044676296,0
S5,0,1354,1855220881,0
