scenario,part,trial,seed,n_decodes
S1,2,61,241549687,1
S1,2,62,1911600763,1
S1,2,63,1268887080,1
S1,2,64,725754424,1
S1,2,65,438223612,1
S1,2,66,1886887897,1
S1,2,67,1635835086,1
S1,2,68,159426249,1
S1,2,69,942817075,1
S1,2,70,1810954402,2
S1,2,71,1721643277,1
S1,2,72,953739419,1
S1,2,73,1487502277,1
S1,2,74,2093969696,1
S1,2,75,224483502,1
S1,2,76,1045635309,1
S1,2,77,120717162,1
S1,2,78,664224671,1
S1,2,79,1307764396,1
S1,2,80,389195011,1
S1,2,81,103672950,1
S1,2,82,730824192,1
S1,2,83,1347007614,1
S1,2,84,776676569,1
S1,2,85,1044394672,1
S1,2,86,1755387503,1
S1,2,87,1498013462,1
S1,2,88,1835858698,1
S1,2,89,94333490,1
S1,2,90,387256628,3
S1,2,91,2092265478,1
S1,2,92,1917905562,1
S1,2,93,1298616300,1
S1,2,94,69293403,2
S1,2,95,987720771,2
S1,2,96,2006846569,1
S1,2,97,1390868161,1
S1,2,98,1278981299,2
S1,2,99,333180533,1
S1,2,100,1804039454,2
S1,2,101,248688230,1
S1,2,102,1466707760,1
S1,2,103,1970852366,1
S1,2,104,1785765327,1
S1,2,105,1013322018,1
S1,2,106,1774828976,1
S1,2,107,1161926051,1
S1,2,108,1850770672,1
S1,2,109,1949642247,1
S1,2,110,1119896113,1
S1,2,111,1902508192,1
S1,2,112,1758770702,1
S1,2,113,2027196304,1
S1,2,114,1696112136,1
S1,2,115,1890868050,1
S1,2,116,1105348559,1
S1,2,117,2001875466,2
S1,2,118,1765219515,2
S1,2,119,1889324196,1
S1,2,120,220440011,1
S1,2,121,398024101,2
S1,2,122,1608114583,1
S1,2,123,722070404,1
S1,2,124,564576135,1
S1,2,125,80352993,1
S1,2,126,1535511827,2
S1,2,127,327067669,1
S1,2,128,686916379,1
S1,2,129,1251375556,1
S1,2,130,137168049,2
S1,2,131,1757700448,1
S1,2,132,1880038115,1
S1,2,133,939300830,2
S1,2,134,2108171162,1
S1,2,135,1278897572,1
S1,2,136,1441635952,1
S1,2,137,592446935,1
S1,2,138,1157303560,1
S1,2,139,674299015,1
S1,2,140,1721057786,1
S1,2,141,255467083,1
S1,2,142,1461972153,1
S1,2,143,638741604,1
S1,2,144,814927718,1
S1,2,145,2093578385,1
S1,2,146,1794874009,1
S1,2,147,422778616,2
S1,2,148,1729307347,1
S1,2,149,1694988433,1
S1,2,150,2057573176,1
S1,2,151,612623867,1
S1,2,152,115973646,1
S1,2,153,443403042,1
S1,2,154,724264473,1
S1,2,155,1396134359,1
S1,2,156,515747893,1
S1,2,157,485380710,2
S1,2,158,1519768511,2
S1,2,159,11988406,1
S1,2,160,777239560,1
S1,2,161,1761273478,1
S1,2,162,122933949,1
S1,2,163,1820073771,1
S1,2,164,832414153,2
S1,2,165,1019818485,1
S1,2,166,1828234919,1
S1,2,167,547042173,1
S1,2,168,269012622,1
S1,2,169,479550577,1
S1,2,170,1944702566,1
S1,2,171,1724312373,1
S1,2,172,1374249701,1
S1,2,173,434567152,1
S1,2,174,914783845,1
S1,2,175,1214799450,1
S1,2,176,282905290,1
S1,2,177,612362996,2
S1,2,178,723703741,1
S1,2,179,385779528,1
S1,2,180,1953796883,1
S1,2,181,1979697012,1
S1,2,182,1671635201,1
S1,2,183,1804921091,1
S1,2,184,1553140574,1
S1,2,185,6582771,1
S1,2,186,1381767197,1
S1,2,187,2087201175,2
S1,2,188,804980148,1
S1,2,189,586691004,1
S1,2,190,1721112028,1
S1,2,191,1151224796,2
S1,2,192,1583565640,1
S1,2,193,1859044702,1
S1,2,194,131469602,1
S1,2,195,1543740866,2
S1,2,196,1765675757,1
S1,2,197,573761836,2
S1,2,198,152655441,1
S1,2,199,1420666725,1
S1,2,200,1764752409,1
S1,2,201,1003973923,1
S1,2,202,734759488,1
S1,2,203,271923362,2
S1,2,204,896218664,1
S1,2,205,1791633290,1
S1,2,206,537831549,1
S1,2,207,1367418652,1
S1,2,208,2047052133,1
S1,2,209,1464173917,1
S1,2,210,586082029,2
S1,2,211,1609719593,1
S1,2,212,230242862,1
S1,2,213,307375538,2
S1,2,214,906175329,1
S1,2,215,2129355222,1
S1,2,216,1291879490,2
S1,2,217,516840854,1
S1,2,218,1130946539,1
S1,2,219,560180199,2
S1,2,220,413188368,1
S1,2,221,1381819144,2
S1,2,222,500045076,1
S1,2,223,40124080,1
S1,2,224,1795118165,1
S1,2,225,323060998,1
S1,2,226,1077947531,1
S1,2,227,802307675,2
S1,2,228,55088225,2
S1,2,229,1003990378,1
S1,3,0,474144144,2
S1,3,1,1226819330,1
S1,3,2,1182452760,1
S1,3,3,695784695,1
S1,3,4,354507801,1
S1,3,5,1896505409,1
S1,3,6,813757840,2
S1,3,7,1821196806,1
S1,3,8,678280312,2
S1,3,9,1114353932,1
S1,3,10,2147293350,1
S1,3,11,1772385783,1
S1,3,12,303013713,1
S1,3,13,1918372202,3
S1,3,14,604913376,2
S1,3,15,1143733040,1
S1,3,16,1004744363,1
S1,3,17,946620584,1
S1,3,18,723684540,1
S1,3,19,1359341778,1
S1,3,20,315127909,3
S1,3,21,224318714,1
S1,3,22,834433093,1
S1,3,23,772918103,1
S1,3,24,1363536787,1
S1,3,25,1253774209,1
S1,3,26,449552247,2
S1,3,27,285610835,1
S1,3,28,434659196,1
S1,3,29,1412262206,1
S1,3,30,1702230435,1
S1,3,31,2015045949,1
S1,3,32,1527954126,2
