scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S1,0,132,367670679,CQ /QMSGZ988FD,1497,0.32,-21,-51.43,-56.5,-21.43
S1,0,133,2064419913,CQ Q1ABC FN42,1500,0.4,-11,-41.354,-57,-10.854
S1,0,133,2064419913,<...> 4SWZE3D2Z8 73,1403,-1.52,-26,-55.717,-56.5,-25.717
S1,0,134,1341014110,CQ Q1ABC FN42,1500,0.4,-11,-41.209,-56.5,-11.209
S1,0,135,865234546,CQ Q1ABC FN42,1500,0.4,-11,-41.778,-57.5,-10.778
S1,0,136,1051443388,CQ Q1ABC FN42,1500,0.4,-11,-41.848,-57,-11.348
S1,0,137,2139489256,CQ Q1ABC FN42,1500,0.32,-11,-41.778,-57,-11.278
S1,0,138,605244556,CQ Q1ABC FN42,1500,0.32,-11,-40.753,-56,-11.253
S1,0,139,926237709,CQ Q1ABC FN42,1500,0.32,-11,-41.563,-57,-11.063
S1,0,140,840518899,CQ Q1ABC FN42,1500,0.32,-11,-40.911,-56.5,-10.911
S1,0,141,621178131,CQ Q1ABC FN42,1500,0.32,-11,-41.437,-57,-10.937
S1,0,142,2126198097,CQ Q1ABC FN42,1500,0.4,-11,-40.589,-56,-11.089
S1,0,142,2126198097,<RDCTM535> <RDCTM624> R IR34,2288,1.92,-26,-55.709,-56,-26.209
S1,0,143,2046330321,CQ Q1ABC FN42,1500,0.4,-11,-41.506,-57,-11.006
S1,0,144,1009366809,CQ Q1ABC FN42,1500,0.4,-11,-40.443,-56,-10.943
S1,0,145,440486523,CQ Q1ABC FN42,1500,0.4,-11,-41.234,-56.5,-11.234
S1,0,146,1659306237,CQ Q1ABC FN42,1500,0.32,-11,-41.734,-57,-11.234
S1,0,147,571597019,CQ Q1ABC FN42,1500,0.32,-11,-41.399,-57,-10.899
S1,0,148,1517760940,CQ Q1ABC FN42,1500,0.32,-11,-40.741,-56,-11.241
S1,0,148,1517760940,0AC430C23C908588C7,2897,-1.04,-27,-56.722,-56,-27.222
S1,0,149,1368708717,CQ Q1ABC FN42,1500,0.32,-11,-41.304,-57,-10.804
S1,0,150,739055226,CQ Q1ABC FN42,1500,0.32,-11,-41.627,-57,-11.127
S1,0,151,938422698,CQ Q1ABC FN42,1500,0.32,-11,-40.709,-56.5,-10.709
S1,0,152,730873768,CQ Q1ABC FN42,1500,0.32,-11,-41.253,-56.5,-11.253
S1,0,153,844594382,CQ Q1ABC FN42,1500,0.32,-11,-40.386,-56,-10.886
S1,0,154,577413716,CQ Q1ABC FN42,1500,0.4,-11,-41.829,-57,-11.329
S1,0,155,881531734,CQ Q1ABC FN42,1500,0.32,-11,-41.949,-57.5,-10.949
S1,0,156,1299167586,CQ Q1ABC FN42,1500,0.32,-11,-41.677,-57,-11.177
S1,0,157,1135366779,CQ Q1ABC FN42,1500,0.4,-11,-40.905,-56,-11.405
S1,0,157,1135366779,2FSH6YOH2VJ <...>,1291,-0.16,-27,-56.096,-56,-26.596
S1,0,158,1599795264,CQ Q1ABC FN42,1500,0.4,-11,-41.19,-57,-10.69
S1,0,159,1524375535,CQ Q1ABC FN42,1500,0.4,-11,-40.823,-56.5,-10.823
S1,0,160,1062097379,CQ Q1ABC FN42,1500,0.32,-11,-41.209,-56.5,-11.209
S1,0,161,1954268681,CQ Q1ABC FN42,1500,0.32,-11,-42.196,-57.5,-11.196
S1,0,162,228403461,CQ Q1ABC FN42,1500,0.32,-11,-41.222,-56.5,-11.222
S1,0,163,187672520,CQ Q1ABC FN42,1500,0.32,-11,-41.715,-57,-11.215
S1,0,164,706590964,CQ Q1ABC FN42,1500,0.32,-11,-41.215,-56.5,-11.215
S1,0,165,1116812814,CQ Q1ABC FN42,1500,0.4,-11,-41.804,-57,-11.304
S1,0,165,1116812814,<RDCTM140> <RDCTM49>/R PQ89,1953,-1.2,-26,-57.43,-57.5,-26.43
S1,0,165,1116812814,<RDCTM324>/P <RDCTM77> R RO33,1738,-1.12,-26,-57.479,-57.5,-26.479
S1,0,166,863782936,CQ Q1ABC FN42,1500,0.4,-11,-41.456,-56.5,-11.456
S1,0,167,1871761732,CQ Q1ABC FN42,1500,0.32,-11,-41.089,-56.5,-11.089
S1,0,168,546168556,CQ Q1ABC FN42,1500,0.4,-11,-41.899,-57.5,-10.899
S1,0,169,567012362,CQ Q1ABC FN42,1500,0.32,-11,-41.582,-57,-11.082
S1,0,169,567012362,CQ <...>,1263,-1.36,-27,-57.6,-57,-27.1
S1,0,170,673088348,CQ Q1ABC FN42,1500,0.4,-11,-41.449,-57,-10.949
S1,0,171,474178055,CQ Q1ABC FN42,1500,0.4,-11,-40.943,-56.5,-10.943
S1,0,171,474178055,<...> ZI4 QLVHOIF 73,763,-1.12,-26,-56.118,-56.5,-26.118
S1,0,172,866510703,CQ Q1ABC FN42,1500,0.4,-11,-41.108,-56.5,-11.108
S1,0,173,143334489,CQ Q1ABC FN42,1500,0.4,-11,-41.304,-56.5,-11.304
S1,0,174,536698405,CQ Q1ABC FN42,1500,0.32,-11,-41.715,-57,-11.215
S1,0,175,697155301,CQ Q1ABC FN42,1500,0.32,-11,-40.937,-56.5,-10.937
S1,0,175,697155301,<RDCTM722>/R 727KMO R+G9,500,-1.04,-27,-57.292,-56.5,-27.292
S1,0,176,1150671376,CQ Q1ABC FN42,1500,0.4,-11,-41.715,-57.5,-10.715
S1,0,177,47942316,CQ Q1ABC FN42,1500,0.4,-11,-41.987,-57,-11.487
S1,0,178,2069827866,CQ Q1ABC FN42,1500,0.4,-11,-42.215,-57.5,-11.215
S1,0,179,722325406,CQ Q1ABC FN42,1500,0.4,-11,-41.5,-57,-11
S1,0,180,1220972068,CQ Q1ABC FN42,1500,0.32,-11,-40.823,-56.5,-10.823
S1,0,181,1064266465,CQ Q1ABC FN42,1500,0.32,-11,-41.589,-57,-11.089
S1,0,182,1916318669,CQ Q1ABC FN42,1500,0.32,-11,-41.209,-57,-10.709
S1,0,183,1641913196,CQ Q1ABC FN42,1500,0.32,-11,-41.589,-57,-11.089
S1,0,184,970314883,CQ Q1ABC FN42,1500,0.32,-11,-41.88,-57,-11.38
S1,0,185,359169302,CQ Q1ABC FN42,1500,0.4,-11,-41.38,-57,-10.88
S1,0,186,833078534,CQ Q1ABC FN42,1500,0.4,-11,-41.601,-57.5,-10.601
S1,0,187,2016400864,CQ Q1ABC FN42,1500,0.4,-11,-42.335,-57.5,-11.335
S1,0,188,1220561475,CQ Q1ABC FN42,1500,0.4,-11,-41.361,-57,-10.861
S1,0,189,1046686516,CQ Q1ABC FN42,1500,0.4,-11,-41.253,-57,-10.753
S1,0,190,2093321908,CQ Q1ABC FN42,1500,0.32,-11,-40.911,-56,-11.411
S1,0,191,84308200,CQ Q1ABC FN42,1500,0.32,-11,-41.677,-57,-11.177
S1,0,192,169958292,CQ Q1ABC FN42,1500,0.32,-11,-41.12,-57,-10.62
S1,0,193,1696162142,CQ Q1ABC FN42,1500,0.32,-11,-42.032,-57.5,-11.032
S1,0,194,1160438396,CQ Q1ABC FN42,1500,0.4,-11,-41.038,-56.5,-11.038
S1,0,195,208430174,CQ Q1ABC FN42,1500,0.4,-11,-41.595,-57,-11.095
S1,0,195,208430174,CQ YBVW 772VHB OA60,2678,-1.6,-27,-57.297,-57,-26.797
S1,0,196,1749872998,CQ Q1ABC FN42,1500,0.32,-11,-41.19,-56.5,-11.19
S1,0,197,2035699112,CQ Q1ABC FN42,1500,0.32,-11,-41.981,-57.5,-10.981
S1,0,198,667939806,CQ Q1ABC FN42,1500,0.32,-11,-41.171,-56.5,-11.171
S1,0,199,853061571,CQ Q1ABC FN42,1500,0.4,-11,-41.158,-56.5,-11.158
S1,0,200,661814622,CQ Q1ABC FN42,1500,0.32,-11,-41.671,-57,-11.171
S1,0,201,1200482546,CQ Q1ABC FN42,1500,0.32,-11,-41.158,-56.5,-11.158
S1,0,202,1890593633,CQ Q1ABC FN42,1500,0.32,-11,-40.753,-56.5,-10.753
S1,0,203,1440144465,CQ Q1ABC FN42,1500,0.32,-11,-41.165,-56.5,-11.165
S1,0,204,1440189980,CQ Q1ABC FN42,1500,0.32,-11,-42.266,-57.5,-11.266
S1,0,205,1715861195,CQ Q1ABC FN42,1500,0.32,-11,-41.253,-56.5,-11.253
S1,0,206,659364739,CQ Q1ABC FN42,1500,0.4,-11,-41.025,-56.5,-11.025
S1,0,207,1331441208,CQ Q1ABC FN42,1500,0.32,-11,-40.487,-56,-10.987
