scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S5,0,1580,1292258624,M O/?FH+/OBK+,1456,-0.48,-26,-56.289,-57,-25.789
S5,0,1582,1908689271,CQ <...>,2659,2.96,-27,-56.767,-56.5,-26.767
S5,0,1583,911305862,CQ 58PLBISH8FY,2325,2.88,-27,-57.053,-56.5,-27.053
S5,0,158,868384073,CQ <...>,2341,-1.6,-27,-57.826,-57.5,-26.826
S5,0,1610,1990200535,<RDCTR285> <RDCTR178> K QO57,2425,-0.96,-27,-57.39,-57,-26.89
S5,0,1621,29636823,1490D21246F7DCD381,1778,1.28,-26,-56.981,-57,-26.481
S5,0,1625,1472144525,N47X52FYYTW <...>,1522,-1.28,-26,-55.93,-56.5,-25.93
S5,0,163,90738479,CQ 21FT75YPZB7,2231,3.04,-26,-56.034,-56.5,-26.034
S5,0,163,90738479,772PJM <RDCTR151> BC90,2719,-1.12,-28,-58.028,-56.5,-28.028
S5,0,1649,1817360472,CQ <...>,1875,3.04,-27,-57.588,-57,-27.088
S5,0,1652,670045067,<RDCTR257>/P 3XU8JLY R NR29,2322,-1.36,-26,-55.7,-56.5,-25.7
S5,0,1653,768852237,C+8ZTRH3LI3AX,728,-0.16,-26,-56.564,-57,-26.064
S5,0,1654,1670840576,<RDCTR193> <RDCTR347>/R MA84,2444,-0.32,-27,-56.61,-56.5,-26.61
S5,0,1656,51731889,<...> 1ZC746HM NX RR73,2206,-1.44,-27,-56.157,-56,-26.657
S5,0,1666,195925160,1BLHIEJ7H0V <...>,238,-1.12,-28,-58.299,-56.5,-28.299
S5,0,1672,423950850,9I2 XW/P <RDCTR205>/P BH79,847,3.12,-25,-55.338,-56.5,-25.338
S5,0,1678,100262267,<RDCTR341>/P <RDCTR209> IQ03,1450,-1.28,-27,-56.965,-56.5,-26.965
S5,0,167,1185333218,<...> <RDCTR252> OK09,1859,-1.12,-27,-57.472,-56.5,-27.472
S5,0,1683,1364476700,<...> NX0CC904X4A 73,2731,-0.4,-27,-56.908,-56.5,-26.908
S5,0,1748,978217812,Y60PQY <RDCTR154>/P R DR68,1500,2.8,-27,-57.086,-57,-26.586
S5,0,1749,918374809,<RDCTR171> 633OWZ OC07,2750,3.04,-27,-57.095,-56.5,-27.095
S5,0,1757,1233844752,<RDCTR148> A/R <RDCTR118>/R R OI87,597,-0.64,-27,-57.6,-57,-27.1
S5,0,1758,1927429617,NXCJ/M0LOB5CO,2631,-0.88,-26,-56.89,-57,-26.39
S5,0,175,1031879935,<RDCTR212>/R 286 WE/R R CK41,1259,-0.8,-27,-57.5,-57,-27
S5,0,1764,2011497068,<...> 6ECK6A0JOTY,2475,0.96,-26,-55.646,-56.5,-25.646
S5,0,1766,1035907619,1.6JAYIL?K/U?,1147,1.12,-26,-56.335,-56.5,-26.335
S5,0,1775,1492153901,<...> <RDCTR225>/R R DI60,2803,-1.04,-27,-57.451,-56.5,-27.451
S5,0,1776,528671424,CQ <...>,1628,-1.28,-27,-56.965,-56.5,-26.965
S5,0,1792,321630411,CQ 40 644RVNSJ,1406,-0.96,-27,-56.884,-56.5,-26.884
S5,0,1803,690807676,LK+T9QLZYL-V+,288,2.08,-26,-56.608,-57.5,-25.608
S5,0,1805,76797872,1TJZOKQ5WRN <...>,356,-1.2,-27,-56.606,-56.5,-26.606
S5,0,1806,1899148702,8J3TWKBVX/Z+1,728,-1.28,-27,-57.141,-57,-26.641
S5,0,181,1183292314,047JTV <RDCTR134> QQ75,1578,-1.2,-27,-58.38,-57.5,-27.38
S5,0,1836,1852285694,YYGYCT2N 3D <...> RR73,400,-1.44,-26,-56.493,-56.5,-26.493
S5,0,1847,1009718449,<...> 5Z8963ARYHU RRR,2944,-0.96,-27,-57.87,-57,-27.37
S5,0,1872,995556258,1B5F10B7C25261BD26,388,-0.88,-27,-56.699,-56,-27.199
S5,0,1913,424722091,DF <RDCTR113> 0K R,2569,2.96,-27,-57.72,-57,-27.22
S5,0,1918,491323195,CQ <...>,681,-1.44,-26,-55.5,-56.5,-25.5
S5,0,1919,331923837,C63TAV <RDCTR131> R EL44,2222,-0.88,-27,-56.363,-56,-26.863
S5,0,192,1168445135,<RDCTR149>/R 752ZUB/R PR00,1925,1.04,-26,-56.411,-56.5,-26.411
S5,0,1933,171813943,I50ZOY <RDCTR245>/P DO52,2828,-0.4,-26,-56.836,-57,-26.336
S5,0,1949,1738865418,59632D5FA6832CF3EB,222,2.8,-27,-57.862,-57.5,-26.862
S5,0,1951,1781970467,<RDCTR53> <RDCTR31> OI97,972,-1.2,-27,-57.085,-56.5,-27.085
S5,0,1961,2010887385,CQ HTTP <RDCTR188> R AF89,1028,-1.52,-27,-56.261,-56,-26.761
S5,0,1967,1664447608,MDUGKGIWNKA <...>,1231,2.72,-26,-56.632,-57,-26.132
S5,0,1981,1868418106,AY+ZPPK4T9UCW,1406,1.12,-26,-56.696,-57,-26.196
S5,0,1982,62385934,K90 AU/R <RDCTR15> R PE68,2438,-1.12,-28,-58.333,-57,-27.833
S5,0,1982,62385934,<RDCTR278>/R <RDCTR223>/R R EE94,2019,-1.12,-27,-57.611,-57,-27.111
S5,0,198,1766946940,CQ <...>,2538,-0.72,-26,-56.115,-56.5,-26.115
S5,0,226,106826517,Z98BOU/R <RDCTR323> R EP10,2066,2.72,-26,-55.572,-56.5,-25.572
S5,0,227,1367658933,<RDCTR314> <RDCTR129>/P IM20,1916,-1.52,-27,-57.094,-56.5,-27.094
S5,0,237,1237269653,<RDCTR41> <RDCTR238>/R R HN80,347,3.04,-26,-56.338,-56.5,-26.338
S5,0,241,776862242,<RDCTR165>/P Y55YUO/P PQ74,2509,-1.12,-27,-56.896,-56,-27.396
S5,0,251,176206294,CQ 58/CFERY7XB,1197,-0.96,-27,-57.219,-57,-26.719
S5,0,256,681967637,5EY3291LTQQ <...>,763,-0.32,-26,-56.318,-57,-25.818
S5,0,267,139036762,<RDCTR138> A55DJV/R R IO73,563,1.28,-27,-56.797,-56.5,-26.797
S5,0,281,2136780782,<RDCTR349> <RDCTR64> R HB70,1534,-0.72,-27,-57.027,-57,-26.527
S5,0,291,2099056751,46E672C6A14EBA2163,288,-1.12,-27,-57.563,-57,-27.063
S5,0,291,2099056751,<...> C6T5 D50VJQ RR73,1538,-1.36,-27,-57.029,-57,-26.529
S5,0,294,51220613,<...> 4QTBTW19M35,1425,3.12,-26,-56.446,-56.5,-26.446
S5,0,297,1689154468,<RDCTR334>/P <RDCTR56>/P HF36,2425,-1.36,-27,-57.143,-57,-26.643
S5,0,301,124653943,M/YH VK351B <...> RRR,509,-1.2,-25,-55.113,-56.5,-25.113
S5,0,319,1522189422,<...> <RDCTR34>/R PF06,1041,3.04,-26,-55.649,-56,-26.149
S5,0,320,1374792709,<RDCTR45> <RDCTR250> R IO73,1597,0.72,-26,-56.215,-56.5,-26.215
S5,0,350,590252297,<RDCTR92> 950FUV JC13,1028,-0.72,-26,-56.399,-57,-25.899
S5,0,356,851106461,CQ <...>,403,-1.6,-26,-56.181,-56.5,-26.181
S5,0,357,1748000578,HI9GV3DRTT <...> 73,2875,-0.8,-27,-57.02,-56.5,-27.02
S5,0,359,985966773,<RDCTR152>/P 9F8 NV MB80,2450,-1.28,-26,-57.063,-57.5,-26.063
S5,0,371,247929837,CQ TZFT <RDCTR183>/P R FA71,509,-1.44,-27,-56.65,-56,-27.15
S5,0,373,1731692814,<RDCTR169> <...> R OO85,2281,-0.88,-26,-57.356,-57.5,-26.356
S5,0,385,223223049,CQ SXLE U32LPK R EO13,1009,-1.52,-26,-56.29,-57,-25.79
S5,0,395,191763828,CQ W6/SRU41F/A,2447,-0.24,-27,-57.331,-56.5,-27.331
S5,0,398,646096731,CQ EHCN <RDCTR17> R LR40,2022,-1.52,-27,-59.08,-58.5,-27.08
S5,0,398,646096731,CQ QTWU <RDCTR161> R FA37,2103,-1.52,-27,-58.529,-58.5,-26.529
S5,0,404,2074701463,<RDCTR316>/R 343GHV/R ML50,884,-0.96,-26,-56.925,-57,-26.425
S5,0,410,1398307015,QT8JD3R5LO2 <...>,744,-1.36,-27,-56.979,-56.5,-26.979
S5,0,422,806115258,617DPJ/P <RDCTR159>/P ID87,1391,-0.16,-27,-56.462,-56,-26.962
S5,0,427,2077418503,CQ 5Q0/UNHELYZ,1972,2.56,-26,-56.922,-57,-26.422
S5,0,433,1227717498,<RDCTR71> <RDCTR119>/R MM51,2453,-0.24,-26,-55.656,-56.5,-25.656
S5,0,440,1273808213,<RDCTR338>/R <RDCTR262> R BO74,2328,-1.52,-26,-56.674,-57,-26.174
S5,0,461,691299082,<RDCTR300>/R <RDCTR86> ON44,2609,-0.96,-27,-56.521,-56,-27.021
S5,0,472,2115772265,H74ZCM/P <RDCTR127> R KL44,1025,2,-26,-55.772,-56.5,-25.772
S5,0,476,1854429528,CQ 6GDA8JFJTFM,1988,-0.8,-27,-57.297,-57,-26.797
S5,0,481,2137970100,Q7LDS <RDCTR260> KN11,2216,-1.28,-27,-56.514,-56.5,-26.514
S5,0,486,912352577,<RDCTR60> K12RIM/P R AO34,297,-1.28,-26,-57.493,-57.5,-26.493
S5,0,498,806746143,<RDCTR157>/P <RDCTR20>/P R MC68,1625,-0.8,-27,-56.662,-56.5,-26.662
S5,0,503,519202797,<...> Y15NQRNP8TN RR73,1894,-0.88,-27,-57.432,-57,-26.932
S5,0,507,1872683113,CQ BCND <RDCTR213>/P CF39,1391,-1.6,-27,-57.232,-56.5,-27.232
S5,0,514,1614207028,O86HHM L23LFL CJ26,1000,-0.32,-27,-56.87,-56,-27.37
S5,0,526,791949542,CQ AXIG H75BOE/P R HK50,1831,-1.52,-27,-56.841,-56.5,-26.841
S5,0,549,2065768214,CQ <...>,475,-0.88,-26,-56.007,-56.5,-26.007
S5,0,560,808758784,<...> KI1H8FC8G53,1350,-1.36,-28,-58.214,-57,-27.714
S5,0,570,1647053156,<RDCTR304>/P <RDCTR211> R DM36,1369,-1.12,-27,-57.347,-57,-26.847
S5,0,578,1342995436,P7P03AKE9E3 <...>,378,-1.52,-26,-56.725,-57,-26.225
S5,0,588,806784879,.ZNH46EZZZ-.U,2141,-1.36,-26,-56.771,-57,-26.271
S5,0,634,1820904045,<RDCTR242> <RDCTR308> R KH85,1866,-1.2,-27,-56.951,-56.5,-26.951
S5,0,638,1499254902,CQ SKGHPJXZ73K,1300,1.68,-26,-56.051,-56.5,-26.051
S5,0,648,1790092620,CQ <...>,2713,-1.52,-28,-57.572,-56.5,-27.572
S5,0,670,882260031,W87FQD P82OZE/P R GK33,2269,-0.88,-27,-57.295,-57,-26.795
S5,0,671,1120396849,?3NZQW/GX?GMD,1656,-0.8,-27,-56.953,-56,-27.453
S5,0,691,88792446,CQ GMBC <RDCTR124> R EH20,1478,-1.6,-27,-58.109,-57.5,-27.109
S5,0,699,799007902,814PKQ T07FFR R NB78,2791,-0.48,-27,-57.579,-57,-27.079
S5,0,703,740195428,386TVA/R <RDCTR325>/R BM75,334,2.24,-27,-57.487,-57,-26.987
S5,0,703,740195428,7PYSK/UU?CX93,228,2.08,-26,-56.424,-57,-25.924
S5,0,707,80178716,CQ T4DI2XJLA4J,1284,-0.96,-27,-56.705,-56.5,-26.705
S5,0,708,1007574449,<...> <RDCTR348>/R R BA26,1009,-1.44,-27,-58.207,-57.5,-27.207
S5,0,709,540573267,<RDCTR76> R96HON/P NF05,963,-0.96,-27,-56.808,-56.5,-26.808
S5,0,713,1030059857,<RDCTR24> <RDCTR168> R CH93,2734,-1.04,-27,-56.382,-56,-26.882
S5,0,718,344626804,<RDCTR344>/P L98PGV/P R DM24,756,2.08,-26,-56.31,-56.5,-26.31
S5,0,723,475396506,<...> Z0UHC9WAAXE RR73,491,-0.24,-27,-57.253,-57,-26.753
S5,0,727,31311129,3XU9ITD/R <RDCTR158> CR24,1247,-0.8,-27,-57.838,-57.5,-26.838
S5,0,729,2018760905,CQ <...>,1153,-1.44,-28,-57.671,-56.5,-27.671
S5,0,729,2018760905,<RDCTR181>/R J36FXZ PR02,2072,3.12,-27,-56.791,-56.5,-26.791
S5,0,737,1597792051,115NSX W17PPW/P CG04,1359,-1.36,-26,-56.221,-56.5,-26.221
S5,0,742,1012282536,TMK?X?SJD7+2D,1897,-0.88,-27,-56.61,-56.5,-26.61
S5,0,755,1443916525,<RDCTR251>/R <RDCTR186> AA98,975,3.12,-26,-56.405,-56.5,-26.405
S5,0,772,725464255,<...> J34IRK/P R KR16,2063,-1.44,-27,-58.279,-57.5,-27.279
S5,0,778,787845293,181SZO/R <RDCTR16> EO42,2581,-0.64,-26,-56.16,-56.5,-26.16
S5,0,785,511750821,<...> 92SW0ATRK9S,828,-1.2,-27,-56.69,-56.5,-26.69
S5,0,798,1475588372,CQ LPRX H96BIM/R R HL81,647,-1.6,-26,-56.754,-57,-26.254
S5,0,801,2125807441,<RDCTR74> <RDCTR247> R CD38,2941,-0.72,-27,-56.804,-56.5,-26.804
S5,0,812,1423249389,G64EV51G9QP <...>,269,-1.04,-26,-55.792,-56,-26.292
S5,0,829,976653809,<RDCTR137> 3XF8SAA R KA16,2556,3.12,-26,-56.459,-57,-25.959
S5,0,862,1689548918,CQ <...>,1619,-0.8,-28,-57.892,-56.5,-27.892
S5,0,865,1940946070,<RDCTR346>/R <RDCTR235> HR84,797,0.72,-26,-56.063,-56.5,-26.063
S5,0,883,1450912100,SAF5NIHCYDU <...> RR73,1700,-1.12,-26,-56.375,-57,-25.875
S5,0,884,258710644,113WSI <RDCTR312> CD48,900,-1.04,-26,-56.486,-56.5,-26.486
S5,0,892,1454912063,<...> TXSW0 O EKA 73,1222,-1.36,-27,-56.043,-56,-26.543
S5,0,895,93158576,CQ TE0638RBN N,2897,3.12,-26,-56.372,-56.5,-26.372
S5,0,910,275038139,<RDCTR219> K29KCO/P HF49,2325,-1.04,-27,-57.083,-56.5,-27.083
S5,0,911,1540303733,<RDCTR146> <RDCTR330>/R QG30,2703,1.2,-25,-55.373,-56.5,-25.373
S5,0,929,1974554719,<RDCTR01>/R Z23KF/R R AL30,1503,-0.4,-25,-56.211,-57.5,-25.211
S5,0,949,14435390,<RDCTR42>/R <RDCTR101> R KD44,1078,-1.2,-27,-57.197,-57,-26.697
S5,0,960,1184580132,Y66RNN/R <RDCTR187>/R ED90,2497,3.12,-26,-55.561,-56,-26.061
S5,0,972,510558437,BLMJM1WVES6 <...> RRR,209,-1.2,-28,-58.085,-57,-27.585
S5,0,972,510558437,<RDCTR37>/P <...> R LM64,2544,-0.8,-27,-57.716,-57,-27.216
S5,0,979,1625481724,<RDCTR243> <RDCTR313> R OL23,1953,-1.6,-27,-57.42,-56.5,-27.42
S5,0,997,204729349,620IJS/P <RDCTR217> R KC01,1766,2.48,-27,-58.795,-58,-27.295
S5,1,20,783127692,<RDCTR337>/R <RDCTR274>/R MR64,1428,-1.12,-28,-58.701,-57.5,-27.701
S5,1,20,783127692,CQ KGZ 229NQX/P R JM77,619,-1.6,-27,-57.978,-57,-27.478
S5,1,27,336917293,<RDCTR84>/P <RDCTR06> B EN77,2231,-0.96,-27,-57.11,-57,-26.61
S5,1,34,264284341,<RDCTR191> 512BIL R NG14,863,-1.28,-25,-55.197,-56.5,-25.197
S5,1,41,1560381157,<RDCTR61>/R V67UGK R HI41,1013,3.04,-26,-55.905,-56.5,-25.905
S5,1,48,683044550,L16CRO G66JSU CG40,1716,-1.12,-27,-56.889,-56.5,-26.889
S5,1,51,978485698,H44ZQQ/R 220SQY/R BL83,2366,-1.52,-26,-56.167,-56.5,-26.167
S5,1,60,1951665,2B450B5824D2D74029,431,-0.88,-26,-57.815,-58,-26.315
S5,1,70,258901052,<...> 1QVQ58778RC,1078,-1.44,-26,-56.721,-57,-26.221
S5,1,86,218490133,O88DYU <RDCTR136>/R R KO53,1838,2.96,-27,-57.46,-57,-26.96
S5,1,92,426897843,CQ NEJ7E88MD22,944,2,-27,-57.519,-57,-27.019
S5,1,97,482998566,<RDCTR343> 334VCC KE11,981,-0.72,-26,-55.98,-56.5,-25.98
S5,1,1000,1818442151,CQ 8HZPULDBF2,1163,-0.88,-26,-55.61,-56.5,-25.61
S5,1,1005,151209388,<RDCTR239> <RDCTR162> R JO18,666,3.04,-27,-57.054,-56.5,-27.054
S5,1,1016,2133632966,<RDCTR173> <RDCTR14>/P R HD56,1769,-1.36,-27,-57.429,-57,-26.929
S5,1,1030,742416077,3HRV4S2  CK-T,1763,-1.2,-28,-58.944,-57,-28.444
S5,1,1047,367734170,<RDCTR268> <RDCTR203> M/P BR80,2494,2.64,-26,-56.338,-57,-25.838
