cycle_stem,epoch,utc,lag_s,lag_subsample_s,peak_corr,label_offset_s
260803_175300,0,2026-08-03T17:53:00Z,,,,+0.00000
260803_175315,0,2026-08-03T17:53:15Z,-0.03767,-0.03766,0.9956,+0.00000
260803_175330,0,2026-08-03T17:53:30Z,,,,+0.00000
260803_175345,0,2026-08-03T17:53:45Z,,,,+0.00000
260803_175400,0,2026-08-03T17:54:00Z,,,,+0.00000
260803_175415,0,2026-08-03T17:54:15Z,,,,+0.00000
260803_175430,0,2026-08-03T17:54:30Z,,,,+0.00000
260803_175445,0,2026-08-03T17:54:45Z,,,,+0.00000
260803_175500,0,2026-08-03T17:55:00Z,,,,+0.00000
260803_175515,0,2026-08-03T17:55:15Z,,,,+0.00000
260803_175530,0,2026-08-03T17:55:30Z,,,,+0.00000
260803_175545,0,2026-08-03T17:55:45Z,-0.02500,-0.02500,0.9937,+0.00000
260803_175600,0,2026-08-03T17:56:00Z,,,,+0.00000
260803_175615,0,2026-08-03T17:56:15Z,,,,+0.00000
260803_175630,0,2026-08-03T17:56:30Z,,,,+0.00000
260803_175645,0,2026-08-03T17:56:45Z,,,,+0.00000
260803_175700,0,2026-08-03T17:57:00Z,,,,+0.00000
260803_175715,0,2026-08-03T17:57:15Z,,,,+0.00000
260803_175730,0,2026-08-03T17:57:30Z,,,,+0.00000
260803_175745,0,2026-08-03T17:57:45Z,,,,+0.00000
260803_175800,0,2026-08-03T17:58:00Z,,,,+0.00000
260803_175815,0,2026-08-03T17:58:15Z,-0.02342,-0.02341,0.9944,+0.00000
260803_175830,0,2026-08-03T17:58:30Z,,,,+0.00000
260803_175845,0,2026-08-03T17:58:45Z,,,,+0.00000
260803_175900,0,2026-08-03T17:59:00Z,,,,+0.00000
260803_175915,0,2026-08-03T17:59:15Z,,,,+0.00000
260803_175930,0,2026-08-03T17:59:30Z,,,,+0.00000
260803_175945,0,2026-08-03T17:59:45Z,,,,+0.00000
260803_180000,0,2026-08-03T18:00:00Z,,,,+0.00000
260803_180015,0,2026-08-03T18:00:15Z,,,,+0.00000
260803_180030,0,2026-08-03T18:00:30Z,,,,+0.00000
260803_180045,0,2026-08-03T18:00:45Z,-0.01833,-0.01833,0.9928,+0.00000
260803_180100,0,2026-08-03T18:01:00Z,,,,+0.00000
260803_180115,0,2026-08-03T18:01:15Z,,,,+0.00000
260803_180130,0,2026-08-03T18:01:30Z,,,,+0.00000
260803_180145,0,2026-08-03T18:01:45Z,,,,+0.00000
260803_180200,0,2026-08-03T18:02:00Z,,,,+0.00000
260803_180215,0,2026-08-03T18:02:15Z,,,,+0.00000
260803_180230,0,2026-08-03T18:02:30Z,,,,+0.00000
260803_180245,0,2026-08-03T18:02:45Z,,,,+0.00000
260803_180300,0,2026-08-03T18:03:00Z,,,,+0.00000
260803_180315,0,2026-08-03T18:03:15Z,-0.01058,-0.01058,0.9925,+0.00000
260803_180330,0,2026-08-03T18:03:30Z,,,,+0.00000
260803_180345,0,2026-08-03T18:03:45Z,,,,+0.00000
260803_180400,0,2026-08-03T18:04:00Z,,,,+0.00000
260803_180415,0,2026-08-03T18:04:15Z,,,,+0.00000
260803_180430,0,2026-08-03T18:04:30Z,,,,+0.00000
260803_180445,0,2026-08-03T18:04:45Z,,,,+0.00000
260803_180500,0,2026-08-03T18:05:00Z,,,,+0.00000
260803_180515,0,2026-08-03T18:05:15Z,,,,+0.00000
260803_180530,0,2026-08-03T18:05:30Z,,,,+0.00000
260803_180545,0,2026-08-03T18:05:45Z,+0.00375,+0.00376,0.9956,+0.00000
260803_180600,0,2026-08-03T18:06:00Z,,,,+0.00000
260803_180615,0,2026-08-03T18:06:15Z,,,,+0.00000
260803_180630,0,2026-08-03T18:06:30Z,,,,+0.00000
260803_180645,0,2026-08-03T18:06:45Z,,,,+0.00000
260803_180700,0,2026-08-03T18:07:00Z,,,,+0.00000
260803_180715,0,2026-08-03T18:07:15Z,,,,+0.00000
260803_180730,0,2026-08-03T18:07:30Z,,,,+0.00000
260803_180745,0,2026-08-03T18:07:45Z,,,,+0.00000
260803_180800,0,2026-08-03T18:08:00Z,,,,+0.00000
260803_180815,0,2026-08-03T18:08:15Z,-0.03342,-0.03341,0.9928,+0.00000
260803_180830,0,2026-08-03T18:08:30Z,,,,+0.00000
260803_180845,0,2026-08-03T18:08:45Z,,,,+0.00000
260803_180900,0,2026-08-03T18:09:00Z,,,,+0.00000
260803_180915,0,2026-08-03T18:09:15Z,,,,+0.00000
260803_180930,0,2026-08-03T18:09:30Z,,,,+0.00000
260803_180945,0,2026-08-03T18:09:45Z,,,,+0.00000
260803_181000,0,2026-08-03T18:10:00Z,,,,+0.00000
260803_181015,0,2026-08-03T18:10:15Z,,,,+0.00000
260803_181030,0,2026-08-03T18:10:30Z,,,,+0.00000
260803_181045,0,2026-08-03T18:10:45Z,-0.02458,-0.02458,0.9798,+0.00000
260803_181100,0,2026-08-03T18:11:00Z,,,,+0.00000
260803_181115,0,2026-08-03T18:11:15Z,,,,+0.00000
260803_181130,0,2026-08-03T18:11:30Z,,,,+0.00000
260803_181145,0,2026-08-03T18:11:45Z,,,,+0.00000
260803_181200,0,2026-08-03T18:12:00Z,,,,+0.00000
260803_181215,0,2026-08-03T18:12:15Z,,,,+0.00000
260803_181230,0,2026-08-03T18:12:30Z,,,,+0.00000
260803_181245,0,2026-08-03T18:12:45Z,,,,+0.00000
260803_181300,0,2026-08-03T18:13:00Z,,,,+0.00000
260803_181315,0,2026-08-03T18:13:15Z,-0.01750,-0.01749,0.9950,+0.00000
260803_181330,0,2026-08-03T18:13:30Z,,,,+0.00000
260803_181345,0,2026-08-03T18:13:45Z,,,,+0.00000
260803_181400,0,2026-08-03T18:14:00Z,,,,+0.00000
260803_181415,0,2026-08-03T18:14:15Z,,,,+0.00000
260803_181430,0,2026-08-03T18:14:30Z,,,,+0.00000
260803_181445,0,2026-08-03T18:14:45Z,,,,+0.00000
260803_181500,0,2026-08-03T18:15:00Z,,,,+0.00000
260803_181515,0,2026-08-03T18:15:15Z,,,,+0.00000
260803_181530,0,2026-08-03T18:15:30Z,,,,+0.00000
260803_181545,0,2026-08-03T18:15:45Z,-0.01083,-0.01083,0.9946,+0.00000
260803_181600,0,2026-08-03T18:16:00Z,,,,+0.00000
260803_181615,0,2026-08-03T18:16:15Z,,,,+0.00000
260803_181630,0,2026-08-03T18:16:30Z,,,,+0.00000
260803_181645,0,2026-08-03T18:16:45Z,,,,+0.00000
260803_181700,0,2026-08-03T18:17:00Z,,,,+0.00000
260803_181715,0,2026-08-03T18:17:15Z,,,,+0.00000
260803_181730,0,2026-08-03T18:17:30Z,,,,+0.00000
260803_181745,0,2026-08-03T18:17:45Z,,,,+0.00000
260803_181800,0,2026-08-03T18:18:00Z,,,,+0.00000
260803_181815,0,2026-08-03T18:18:15Z,-0.00858,-0.00858,0.9951,+0.00000
260803_181830,0,2026-08-03T18:18:30Z,,,,+0.00000
260803_181845,0,2026-08-03T18:18:45Z,,,,+0.00000
260803_181900,0,2026-08-03T18:19:00Z,,,,+0.00000
260803_181915,0,2026-08-03T18:19:15Z,,,,+0.00000
260803_181930,0,2026-08-03T18:19:30Z,,,,+0.00000
260803_181945,0,2026-08-03T18:19:45Z,,,,+0.00000
260803_182000,0,2026-08-03T18:20:00Z,,,,+0.00000
260803_182015,0,2026-08-03T18:20:15Z,,,,+0.00000
260803_182030,0,2026-08-03T18:20:30Z,,,,+0.00000
260803_182045,0,2026-08-03T18:20:45Z,+0.00283,+0.00284,0.9940,+0.00000
260803_182100,0,2026-08-03T18:21:00Z,,,,+0.00000
260803_182115,0,2026-08-03T18:21:15Z,,,,+0.00000
260803_182130,0,2026-08-03T18:21:30Z,,,,+0.00000
260803_182145,0,2026-08-03T18:21:45Z,,,,+0.00000
260803_182200,0,2026-08-03T18:22:00Z,,,,+0.00000
260803_182215,0,2026-08-03T18:22:15Z,,,,+0.00000
260803_182230,0,2026-08-03T18:22:30Z,,,,+0.00000
260803_182245,0,2026-08-03T18:22:45Z,,,,+0.00000
260803_182300,0,2026-08-03T18:23:00Z,,,,+0.00000
260803_182315,0,2026-08-03T18:23:15Z,-0.02892,-0.02891,0.9932,+0.00000
260803_182330,0,2026-08-03T18:23:30Z,,,,+0.00000
260803_182345,0,2026-08-03T18:23:45Z,,,,+0.00000
260803_182400,0,2026-08-03T18:24:00Z,,,,+0.00000
260803_182415,0,2026-08-03T18:24:15Z,,,,+0.00000
260803_182430,0,2026-08-03T18:24:30Z,,,,+0.00000
260803_182445,0,2026-08-03T18:24:45Z,,,,+0.00000
260803_182500,0,2026-08-03T18:25:00Z,,,,+0.00000
260803_182515,0,2026-08-03T18:25:15Z,,,,+0.00000
260803_182530,0,2026-08-03T18:25:30Z,,,,+0.00000
260803_182545,0,2026-08-03T18:25:45Z,-0.01867,-0.01866,0.9944,+0.00000
260803_182600,0,2026-08-03T18:26:00Z,,,,+0.00000
260803_182615,0,2026-08-03T18:26:15Z,,,,+0.00000
260803_182630,0,2026-08-03T18:26:30Z,,,,+0.00000
260803_182645,0,2026-08-03T18:26:45Z,,,,+0.00000
260803_182700,0,2026-08-03T18:27:00Z,,,,+0.00000
260803_182715,0,2026-08-03T18:27:15Z,,,,+0.00000
260803_182730,0,2026-08-03T18:27:30Z,,,,+0.00000
260803_182745,0,2026-08-03T18:27:45Z,,,,+0.00000
260803_182800,0,2026-08-03T18:28:00Z,,,,+0.00000
260803_182815,0,2026-08-03T18:28:15Z,-0.02092,-0.02091,0.9948,+0.00000
260803_182830,0,2026-08-03T18:28:30Z,,,,+0.00000
260803_182845,0,2026-08-03T18:28:45Z,,,,+0.00000
260803_182900,0,2026-08-03T18:29:00Z,,,,+0.00000
260803_182915,0,2026-08-03T18:29:15Z,,,,+0.00000
260803_182930,0,2026-08-03T18:29:30Z,,,,+0.00000
260803_182945,0,2026-08-03T18:29:45Z,,,,+0.00000
