stem,stratum,lag_seconds,peak_corr
260730_142145,collapsed,-3.68233,0.9894
260730_142615,collapsed,-3.72233,0.9892
260730_143030,collapsed,-3.72233,0.9962
260730_143500,collapsed,-3.72233,0.9896
260730_143930,collapsed,-3.76233,0.9960
260730_144400,collapsed,-3.76233,0.9786
260730_144830,collapsed,-3.76233,0.9897
260730_145245,collapsed,-3.80233,0.9788
260730_145715,collapsed,-3.80233,0.9852
260730_150145,collapsed,-3.80233,0.9900
260730_150615,collapsed,-3.84233,0.9877
260730_151045,collapsed,-3.84233,0.9773
260730_151500,collapsed,-3.84233,0.9889
260730_151930,collapsed,-3.88233,0.9838
260730_152400,collapsed,-3.88233,0.9811
260730_152830,collapsed,-3.88233,0.9844
260730_153300,collapsed,-3.92233,0.9884
260730_153715,collapsed,-3.92233,0.9858
260730_154145,collapsed,-3.92233,0.9931
260730_154615,collapsed,-3.92233,0.9958
260730_155045,collapsed,-3.96233,0.9846
260730_155515,collapsed,-3.96233,0.9783
260730_155930,collapsed,-3.96233,0.9795
260730_160400,collapsed,-4.00233,0.9952
260730_160830,collapsed,-4.00233,0.9941
260730_161300,collapsed,-4.00233,0.9922
260730_161730,collapsed,-4.04233,0.9821
260730_162145,collapsed,-4.04233,0.9950
260730_162615,collapsed,-4.04233,0.9871
260730_163045,collapsed,-4.08233,0.9801
260730_163515,collapsed,-4.08233,0.9957
260730_163945,collapsed,-4.08233,0.9914
260730_164415,collapsed,-4.12233,0.9981
260730_164830,collapsed,-4.12233,0.9985
260730_165300,collapsed,-4.12233,0.9814
260730_165730,collapsed,-4.16233,0.9804
260730_170200,collapsed,-4.16233,0.9764
260730_170630,collapsed,-4.16233,0.9758
260730_171045,collapsed,-4.16233,0.9799
260730_171515,collapsed,-4.20233,0.9758
260730_171945,collapsed,-4.20233,0.9680
260730_172415,collapsed,-4.20233,0.9790
260730_172845,collapsed,-4.24233,0.9716
260730_173300,collapsed,-4.24233,0.9799
260730_173730,collapsed,-4.24233,0.9915
260730_174200,collapsed,-4.28233,0.9789
260730_174630,collapsed,-4.28233,0.9691
260730_175100,collapsed,-4.28233,0.9798
260730_175515,collapsed,-4.32233,0.9713
260730_175945,collapsed,-4.32233,0.9721
260730_180415,collapsed,-4.32233,0.9791
260730_180845,collapsed,-4.36233,0.9819
260730_181315,collapsed,-4.36233,0.9774
260730_181730,collapsed,-4.36233,0.9715
260730_182200,collapsed,-4.40233,0.9795
260730_182630,collapsed,-4.40233,0.9817
260730_183100,collapsed,-4.40233,0.9802
260730_183530,collapsed,-4.44233,0.9796
