cycle_stem,elapsed_s,lag_seconds,lag_seconds_subsample,peak_corr
260730_043100,35910,-1.99233,-1.99233,0.9759
260730_043445,36135,-1.99233,-1.99233,0.9942
260730_043830,36360,-1.99233,-1.99233,0.9802
260730_044230,36600,-2.03233,-2.03233,0.9880
260730_044615,36825,-2.03233,-2.03233,0.9790
260730_045000,37050,-2.03233,-2.03233,0.9670
260730_045345,37275,-2.03233,-2.03233,0.9920
260730_045730,37500,-2.07233,-2.07233,0.9862
260730_050115,37725,-2.07233,-2.07233,0.9856
260730_050500,37950,-2.07233,-2.07233,0.9894
260730_050845,38175,-2.07233,-2.07233,0.9861
260730_051230,38400,-2.11233,-2.11233,0.9707
260730_051615,38625,-2.11233,-2.11233,0.9841
260730_052000,38850,-2.11233,-2.11233,0.9840
260730_052345,39075,-2.15233,-2.15233,0.9846
260730_052730,39300,-2.15233,-2.15232,0.9605
260730_053115,39525,-2.15233,-2.15233,0.9876
260730_053515,39765,-2.18233,-2.18233,0.9549
260730_053900,39990,-2.18233,-2.18233,0.9745
260730_054245,40215,-2.18233,-2.18233,0.9858
260730_054630,40440,-2.18233,-2.18233,0.9836
260730_055015,40665,-2.22233,-2.22233,0.9823
260730_055400,40890,-2.22233,-2.22233,0.9721
260730_055745,41115,-2.22233,-2.22233,0.9891
260730_060130,41340,-2.22233,-2.22233,0.9785
260730_060515,41565,-2.26233,-2.26233,0.9905
260730_060900,41790,-2.26233,-2.26233,0.9839
260730_061245,42015,-2.26233,-2.26233,0.9862
260730_061630,42240,-2.30233,-2.30233,0.9869
260730_062015,42465,-2.30233,-2.30233,0.9795
260730_062415,42705,-2.30233,-2.30233,0.9874
260730_062800,42930,-2.30233,-2.30233,0.9732
260730_063145,43155,-2.34233,-2.34233,0.9890
260730_063530,43380,-2.34233,-2.34233,0.9732
260730_063915,43605,-2.34233,-2.34233,0.9837
260730_064300,43830,-2.34233,-2.34233,0.9902
260730_064645,44055,-2.38233,-2.38233,0.9900
